accession_number,title,description,provenance,provenance_detail,section,publication_notes,status,description_source_page,primary_image_file,primary_image_caption,image_appendix,image_source_page,image_status,image_count,has_description,has_image,matched
1991.13.42,,Perforated agate bead,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,49,1991.13.42.png,Elongated bead or spindle-shaped bead,,172,available,1,true,true,true
1991.13.43,,Perforated agate bead,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,49,,,,,,0,true,false,false
1991.13.44,,Perforated agate bead,Admiral Sir George Le Clerc Egerton,On loan to Oxford University from the Egerton-Dumas Trust. Looted in the 1897 expedition by Admiral Sir George Le Clerc Egerton. See discussion in Section 2.2,2.2,unpublished,confirmed_1897,49,,,,,,0,true,false,false
1991.16.1,,Bronze head,,,3.6,Backfilled from artifact image page; image says 'See discussion in Section 3.6',possible_1897,189,1991.16.1_1.png,Bronze head,,189,available,1,true,true,true
1992.20.1,,Standing brass figure holding staff,,,1.2,Backfilled from artifact image page; image says 'See discussion in Section 1.2',,190,1992.20.1.png,Standing brass figure holding staff,,190,available,1,true,true,true
1995.1.2,,Small brass figure,,,1.2,Backfilled from artifact image page; image says 'See discussion in Section 1.2',,191,1995.1.2.png,Small brass figure,,191,available,1,true,true,true
2011.21.1,,,,,1.2,,,,,No image currently available,,192,no_image,1,false,false,false
2012.103.11,,,,,3.9,,,,,Rectangular bronze plaque with fish motifs,,192,missing,1,false,false,false
2012.103.12,,Rectangular bronze plaque with fish motif,,,3.9,Backfilled from artifact image page; image is tied to Section 3.9,possible_1897,193,2012.103.12.png,Rectangular bronze plaque with fish motif,,193,available,1,true,true,true
2012.103.13,,Rectangular bronze plaque with three standing figures,,,3.9,Backfilled from artifact image page; image is tied to Section 3.9,possible_1897,194,2012.103.13_1.png,Rectangular bronze plaque with three standing figures,,194,available,1,true,true,true
